x,y
0.005320825,0.501363406
0.049987748,0.506961614
0.089520542,0.51120268
0.136241117,0.519684812
0.179367802,0.527318731
0.222494487,0.531559797
0.262027281,0.540041929
0.323123417,0.55361334
0.366250102,0.561671366
0.409376787,0.571849924
0.452503471,0.57863563
0.495630156,0.596024001
0.538756841,0.612564158
0.585477416,0.635465915
0.62501021,0.654974819
0.668136895,0.678724789
0.707669689,0.705952433
0.740014702,0.730253741
0.775953606,0.770013735
0.804704729,0.800231331
0.833455852,0.835644232
0.854300417,0.868300441
0.874015472,0.903561876
0.894551989,0.932764645
0.90533366,0.962452107
0.9193099,1.004014555
0.922077922,1.042145594
0.930735931,1.085057471
0.943722944,1.115708812
0.956709957,1.149425287
0.961038961,1.17394636
0.965367965,1.213793103
0.982683983,1.272030651
0.991341991,1.336398467
1.004329004,1.385440613
1.012987013,1.440613027
1.025974026,1.477394636
1.047619048,1.501915709
1.090909091,1.495785441
1.103896104,1.462068966
1.121212121,1.409961686
1.138528139,1.348659004
1.155844156,1.27816092
1.173160173,1.229118774
1.186147186,1.195402299
1.203463203,1.170881226
1.216564568,1.145666161
1.233575649,1.118099231
1.27550437,1.037660345
1.289879931,1.000621702
1.313839201,0.975175305
1.325818835,0.952273549
1.333006616,0.91961734
1.350976068,0.884840599
1.37253941,0.849851804
1.394102753,0.805871949
1.421313637,0.770150055
1.45879278,0.717530543
1.483950012,0.685086388
1.509107245,0.655186872
1.534264478,0.629104316
1.577391162,0.583300802
1.613330066,0.552765127
1.64926897,0.519175884
1.685207874,0.492711632
1.724740668,0.463278633
1.767867353,0.436559917
1.814587928,0.409629148
1.854120722,0.389484084
1.897247407,0.365734114
1.940374091,0.348345743
1.976312995,0.335834598
2.026627461,0.312720788
2.069754145,0.297028844
2.11288083,0.283881539
2.156007514,0.272006554
2.20632198,0.255466397
2.249448665,0.244015518
2.314138691,0.229595894
2.357265376,0.218145016
2.400392061,0.209238777
2.443518745,0.201604858
2.508208772,0.18888166
2.551335457,0.181247741
2.594462142,0.174037929
2.637588826,0.168948649
2.687903292,0.160466517
2.731029976,0.154953131
2.795720003,0.146470999
2.838846688,0.14138172
2.881973373,0.136716547
2.921506167,0.133408516
2.989790084,0.126537989
